date,w_000338.SZ,w_002027.SZ,w_002371.SZ,w_600009.SH,w_600029.SH,w_600183.SH,w_600406.SH,w_600900.SH,w_601989.SH,w_601998.SH,w_CASH
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-08-08,2.676201345529414e-12,0.38373155692628635,2.2213024563157966e-12,4.5875896571392925e-12,3.944431182838424e-12,3.3903387220269723e-12,0.008269036386529234,3.959163923486956e-12,0.09572617914831713,0.5122732275180883,0
2023-08-09,6.60660154926563e-09,0.34089387988209885,6.26350755336914e-09,2.7673304110597032e-08,3.9061229858384054e-08,2.970017607003621e-09,0.08300506791777514,1.8701713174544795e-09,0.09638996305655544,0.47971100469873856,0
2023-08-10,2.588044241162738e-11,0.34512866254155244,4.675708635034928e-11,7.157166726922599e-11,4.9266658521432717e-11,5.6201723735763774e-11,0.08012165582979941,6.351015010526168e-11,0.07338157993724466,0.5013681013782159,0
2023-08-11,7.414347247300064e-12,0.3583757817131652,2.458726823654758e-11,3.107259248558155e-11,8.509228513111067e-12,3.6837565158527267e-11,0.06429808669944724,7.36386539354822e-12,0.05481842288129214,0.5225077085903106,0
2023-08-14,1.8138013403322192e-11,0.3317733344815645,1.3336890110699194e-11,1.792765904902805e-11,1.4025819926938896e-11,2.1962459109676112e-11,0.10375536033213235,1.8349321757891676e-11,0.04505029859076067,0.5194210064918023,0
2023-08-15,2.573646699888829e-08,0.39280697403913284,0.02027393048617886,6.34377325686838e-09,1.0118016706459446e-08,1.2907882827483848e-08,0.004808098660435096,1.0553984877071804e-08,0.0853077607358616,0.496803170418267,0
2023-08-16,1.2537462517535265e-08,0.3968321065705643,1.433709716573733e-07,3.3007145458958024e-09,6.368339565827726e-09,7.670152621327908e-09,1.5946504406317813e-07,6.791168813923906e-09,0.10151836657791087,0.5016491873476712,0
2023-08-17,5.842211221680078e-12,0.3580947286496744,5.887509435092001e-11,4.227070642520571e-11,1.0835487852498665e-10,1.2398784311094498e-11,0.06608325727506535,9.305994087327242e-12,0.0507488169709892,0.5250731968672234,0
2023-08-18,2.913164004736664e-11,0.39326329500874835,2.2537529934970575e-11,1.825718864803853e-11,3.604613712243251e-11,5.698967853282651e-11,0.023156534235711405,1.3071714234192986e-11,0.018371418045220553,0.5652087525342857,0
2023-08-21,4.15650643389792e-09,0.40074053039284335,1.4528184035547981e-08,2.3146334655392416e-08,8.205753879558943e-09,1.1522546972781042e-08,8.569913636387064e-09,1.2164380648395832e-08,0.059679189802111336,0.539580197511425,0
2023-08-22,3.988227091823984e-09,0.39832009087195447,3.6983832702951354e-08,9.895847365251057e-08,9.287025455552218e-08,3.702752258790805e-08,6.886808041774743e-08,2.9293357141391214e-08,0.02719583183513569,0.5744837093031617,0
2023-08-23,2.63433993239651e-08,0.4076008456698519,8.012154041397133e-09,4.808356366764776e-09,1.2075724385915263e-08,9.609371532099648e-09,8.33815348340978e-08,1.3495016775742751e-08,0.021311447458804922,0.571087549145786,0
2023-08-24,1.4457280383864997e-09,0.4048137036669914,3.227137839490177e-09,4.009185040085113e-09,1.3755669915051811e-09,2.2350248500593327e-09,1.7634771258781874e-09,2.0069546046833992e-09,0.02984515437702639,0.5653411258929079,0
2023-08-25,2.2777567505469033e-09,0.4056900754944352,6.1767177186225924e-09,1.2931248541987274e-08,1.3272619320126598e-08,7.398710276822931e-09,5.91561396539648e-09,4.577847237764593e-09,0.011491726480785835,0.5828181454742651,0
2023-08-28,4.088044665824304e-09,0.40778261799984256,7.342303586271897e-09,9.587584832712103e-09,3.5281871458536748e-09,5.224825568145781e-09,4.6811111008940835e-09,5.3968833379530395e-09,3.853169968330355e-09,0.5922173382980473,0
2023-08-29,2.570878491862919e-10,0.4081441082966014,2.4141308737107e-10,3.391447162910101e-10,4.836819619047223e-10,3.0385814522353494e-10,1.1406552430384164e-10,3.199902880381185e-10,0.006439323330243173,0.5854165663139139,0
2023-08-30,4.1960276410990086e-09,0.40976003253113397,8.32180848918031e-09,1.0603756565576237e-08,4.7417313923325196e-09,6.975004258255785e-09,5.0103558681765784e-09,5.409845187860776e-09,0.010660901960691289,0.5795790202496452,0
2023-08-31,2.3933193259238826e-08,0.4036393643130825,9.048422304796653e-09,4.166800204255957e-09,1.0130607832151254e-08,7.775168802616621e-09,0.01091469504670048,1.3108658277456536e-08,0.019756075673659734,0.5656897968037066,0
2023-09-01,8.607265673375451e-09,0.4203704566120294,1.4274854506430772e-08,2.1217272529246797e-08,9.5018945281893e-09,1.3184247287796343e-08,9.362763951513753e-09,1.0277809889486635e-08,6.373121363970401e-09,0.5796294505887409,0
2023-09-04,2.070113240994095e-09,0.4201749593288985,1.4111976020726964e-10,1.2169596515482652e-09,1.8087628669287493e-09,2.985702441073929e-10,2.1397027351677194e-09,2.191602138993622e-09,3.2836002044323706e-09,0.5798250275206707,0
2023-09-05,2.970326008094913e-11,0.41611991519398817,3.179349780420435e-11,1.8102056690572104e-10,1.0927823614839058e-10,6.076638093796605e-11,4.08549001364805e-11,8.993176958569535e-11,5.5379580882099735e-11,0.5838800842072838,0
2023-09-06,4.302301025418714e-08,0.41353685760964526,6.362462008433403e-09,2.6468481950685494e-09,5.283385536092838e-09,5.553721688811429e-09,1.77916741241914e-06,7.82886103021094e-09,1.0984053864737892e-07,0.586461182684115,0
2023-09-07,1.7515009166734342e-09,0.4168140877096106,3.447087421987516e-09,5.967909081670041e-09,3.0336444520259064e-09,3.221845763068583e-09,2.8474957456485207e-09,2.9167278426478982e-09,1.6873128932626424e-09,0.5831858874168653,0
2023-09-08,2.6600756237058667e-12,0.40814172804299337,5.723681477459517e-12,3.2012186304451395e-11,1.901592419431263e-11,1.9225832606914648e-11,0.010028651581759607,7.475443242161563e-12,0.003008272719454704,0.5788213475696791,0
2023-09-11,7.621753130857823e-08,0.3626721047433744,1.3503402404960542e-08,4.114772024529876e-09,8.650840103381282e-09,1.1316959633127538e-08,0.07140737693789077,1.4586103898781749e-08,1.0190543324766369e-07,0.5659202880236922,0
2023-09-12,3.436329314407843e-08,0.38584694713387163,1.2624507397968147e-08,3.4437010596954236e-09,7.152487892012751e-09,1.0460199254321118e-08,0.03500185955997613,1.2367457302408655e-08,1.3843154235321317e-07,0.5791509744629638,0
2023-09-13,1.687911016579181e-08,0.4138053538879483,5.487846434226315e-09,1.5571633901377055e-09,3.1933143370204664e-09,5.089086727049403e-09,4.8678351599374936e-08,5.990007138676597e-09,0.000530700872890348,0.5856638583642816,0
2023-09-14,2.013288332552097e-08,0.4151876204627599,4.587545781346244e-09,1.485775826529402e-09,3.0704616575710955e-09,4.538969261608094e-09,7.778931033794037e-08,5.7803535808353664e-09,1.8986077697973182e-07,0.5848120722911633,0
2023-09-15,1.0345645772230364e-08,0.37967206596921005,3.3401639828525457e-09,1.068902975415459e-09,2.461405327178681e-09,3.385304429721635e-09,0.0444183594295448,3.774946653103489e-09,0.006609362462052787,0.5693001877628233,0
2023-09-18,2.0267754584520027e-08,0.36839011570034064,6.671277277420563e-09,2.3602063557170197e-09,6.101748250303401e-09,7.1623040194338094e-09,0.06313275971502179,8.908448296262795e-09,0.013021400408699833,0.555455672704199,0
2023-09-19,1.1765426412199974e-08,0.3304585252412957,3.815088165808972e-09,1.4776865654166635e-09,3.5728132237295635e-09,4.3200354595385965e-09,0.12081192367384917,5.7156366572517374e-09,0.012944020006936403,0.5357855004112323,0
2023-09-20,3.675258653725148e-09,0.37312654050958677,1.1106224249855356e-08,2.858752985892137e-08,1.6363118878225793e-08,1.0154700519472734e-08,0.0734135259487933,8.245636642848055e-09,0.006080131006339069,0.5473797244028121,0
2023-09-21,9.403038480451197e-09,0.36924715579815176,2.614280121379508e-09,1.1736332216093356e-09,2.6020064421984505e-09,3.436163618140461e-09,0.07109319248662051,4.862974269477621e-09,1.897138556350153e-08,0.559659608651746,0
2023-09-22,2.128352019720266e-10,0.3966033202633473,7.772479492206317e-10,9.35621236981989e-10,3.8726930353048656e-10,3.525740645535854e-10,0.03323129068746162,3.4654537097057026e-10,2.6608894491690745e-10,0.570165385771009,0
2023-09-25,2.0809377805728334e-08,0.3899440689822003,7.266304149918664e-08,8.838251546411997e-08,3.623040259800776e-08,2.8694646715365163e-08,0.04323417986173651,3.4019782427170434e-08,2.8660322058066037e-08,0.5668214416959746,0
2023-09-26,2.8027960772849277e-10,0.3661666392677409,1.405265979990998e-09,2.5239899128308316e-09,1.3173550795926345e-09,7.971842622191998e-10,0.07789484656486921,6.182604880483228e-10,9.559087378849916e-11,0.5559385071294637,0
2023-09-27,3.3184700140578583e-08,0.35262123612928886,4.921133211520973e-09,2.828945819886838e-09,5.676414585790065e-09,1.004157477100211e-08,0.09185300890423032,1.2096184210370756e-08,6.406044896914765e-08,0.5555256221570792,0
2023-09-28,8.791377138948578e-10,0.33960951295357816,5.6073901076120895e-09,6.8662705861707895e-09,3.3340882093055303e-09,2.3154865556607315e-09,0.1145296816871398,2.4580436323370546e-09,1.6576363811384732e-09,0.5458607822412289,0
2023-10-09,1.6620262627348297e-11,0.33837580948415436,1.4233870149649613e-10,1.662271173725528e-10,7.244763789870133e-11,6.156191663511033e-11,0.12482217412813117,6.210822063765088e-11,0.011228996031008609,0.525573019835402,0
2023-10-10,2.3527273151225136e-05,0.3304058327266793,6.438613213928058e-09,3.027160549120521e-09,5.3133186169911666e-09,2.090336366286484e-08,0.13112268263131918,1.2568876076370779e-08,0.041922247337382194,0.496525661780136,0
2023-10-11,0.1311914151367361,0.2878329347892698,9.55942017817394e-09,1.3963927940983453e-08,6.26415571618463e-09,2.740730252304736e-09,0.04153800881328066,4.648512483123696e-09,0.14589462594763242,0.3935429781363344,0
2023-10-12,0.08592136621598255,0.3030059558951255,1.9735833377494464e-09,5.943606944237209e-09,3.5685017148529018e-09,4.679276825126488e-10,0.07989762425052241,1.2832676828018471e-09,0.08329014971852468,0.4478848906829575,0
2023-10-13,0.09130670994905607,0.30743086465306013,1.482090552821246e-09,5.36131239001713e-09,3.280626739102776e-09,6.29965443978425e-11,0.07446612537818031,1.137290843337636e-09,0.09351378635131885,0.4332825023440676,0
2023-10-16,0.0883356152538953,0.3085080087100832,1.2797162150959964e-09,5.299265889009524e-09,3.243977231966672e-09,0.0026086555114350853,0.07942444505727647,1.2366129334671523e-09,0.06634240696801913,0.4547808574397184,0
2023-10-17,0.20141328461817476,0.2667540351295731,1.1246492927062305e-09,4.944621725739515e-09,3.014464618958785e-09,0.03066461262368541,9.70395056657485e-11,1.0800827214246174e-09,0.082659501866102,0.4185085555016069,0
2023-10-18,0.3573862135954191,0.17275634645239843,2.025405967544038e-09,6.430918074829673e-09,3.985534222740113e-09,3.8867678911289443e-11,7.499218844117875e-10,1.5782703585684539e-09,0.07379513498644073,0.39606229015682337,0
2023-10-19,0.3802884532238507,0.1485637747915379,2.640076471346728e-09,9.58982325841131e-10,1.7102546260976424e-09,2.08879950330169e-08,7.919934287805551e-09,5.588760123025962e-09,0.0729777046194952,0.3981700276591132,0
2023-10-20,0.4505400944440812,0.0988516430430001,1.5809135168730143e-09,4.435130684250384e-09,2.5673452937364684e-09,2.626531588091312e-10,5.526908504759711e-10,7.524563973954712e-10,0.06944674239595282,0.3811615099657761,0
2023-10-23,0.49157635884891715,0.07465990384323215,2.5987615857102327e-08,4.546533687438096e-08,2.589092866437205e-08,1.4100318181281357e-09,9.757587821344762e-09,1.2945108379838555e-08,0.049142256986570175,0.3846213588646709,0
2023-10-24,0.5368087994683627,0.03796117388612623,5.300714058846221e-09,1.1685580760164863e-08,1.4640306010740783e-09,2.6098094457591123e-09,4.2448759112436504e-09,1.7438074187634492e-09,0.04979402517807444,0.3754359744186183,0
2023-10-25,0.6062952685297116,0.015153405436668684,8.893040872065659e-11,1.0342898300087717e-10,7.183531615636994e-11,4.606011897424476e-12,2.5319634407962326e-11,6.1049308193957e-11,0.02059378882260541,0.3579575368558446,0
2023-10-26,0.5767586965858165,0.03607886568143206,1.4889400487466934e-09,6.534009646927016e-09,3.465477588855326e-09,1.3347495674534218e-10,1.9444611942726536e-09,2.296470469326855e-09,0.044604666537082935,0.3425577553328347,0
