date,0
2023-08-08,0.0025
2023-08-09,1.5624105451734657e-05
2023-08-10,2.967478822035313e-05
2023-08-11,1.4757590451802832e-05
2023-08-14,2.1066179486175723e-05
2023-08-15,2.6851810583513828e-05
2023-08-16,1.2177227371182207e-05
2023-08-17,1.7737385960793497e-05
2023-08-18,2.63409499404714e-05
2023-08-21,3.239576955834293e-05
2023-08-22,1.8242822155618012e-05
2023-08-23,2.837739644813625e-05
2023-08-24,2.4252364731343137e-05
2023-08-25,2.3251396853586842e-05
2023-08-28,2.709961613837821e-05
2023-08-29,3.3493852279138966e-05
2023-08-30,3.0840180739263504e-05
2023-08-31,1.3280299830148438e-05
2023-09-01,2.6071397971701283e-05
2023-09-04,3.615113905011712e-05
2023-09-05,2.0834958630210403e-05
2023-09-06,2.0250032955984053e-05
2023-09-07,2.461930176894456e-05
2023-09-08,1.4508645193951134e-05
2023-09-11,1.4699215024177982e-05
2023-09-12,1.1581436845440833e-05
2023-09-13,1.5876537266004003e-05
2023-09-14,3.330015839934733e-05
2023-09-15,9.835257006962023e-06
2023-09-18,2.0819878343904948e-05
2023-09-19,1.683389147879192e-05
2023-09-20,1.7697443023586417e-05
2023-09-21,5.9462204460511775e-06
2023-09-22,1.4130435127624065e-05
2023-09-25,1.2935122470724799e-05
2023-09-26,1.6357407792624802e-05
2023-09-27,1.4854739255049212e-05
2023-09-28,2.7926368605163e-05
2023-10-09,3.218072414641651e-05
2023-10-10,1.7271518262915616e-05
2023-10-11,1.9929818470543414e-05
2023-10-12,2.566271715082358e-05
2023-10-13,2.963807837382544e-05
2023-10-16,2.16804357125692e-05
2023-10-17,1.3498884851098799e-05
2023-10-18,2.199598563606346e-05
2023-10-19,1.3291840933098466e-05
2023-10-20,1.0277522852116468e-05
2023-10-23,1.7130442153032304e-05
2023-10-24,2.7820521564789975e-05
2023-10-25,4.897647786484745e-05
2023-10-26,1.5006923401452432e-05
2023-10-27,3.4624037376809756e-05
2023-10-30,4.402563289874615e-05
2023-10-31,1.4238233003952394e-05
2023-11-01,1.8072872503731654e-05
2023-11-02,2.289764298823491e-05
2023-11-03,1.7790560574326952e-05
2023-11-06,2.597395843829063e-05
2023-11-07,9.077263234574086e-06
2023-11-08,1.567021652605369e-05
2023-11-09,1.2924567777744915e-05
2023-11-10,9.39183546565683e-06
2023-11-13,1.159129506715438e-05
2023-11-14,1.5262369964526324e-05
2023-11-15,1.3562814033584048e-05
2023-11-16,1.3378875220823932e-05
2023-11-17,1.5318613672002647e-05
2023-11-20,2.0667782295705493e-05
2023-11-21,1.4276791228520162e-05
2023-11-22,1.4307698733060232e-05
2023-11-23,1.614957087910017e-05
2023-11-24,1.2613504661672538e-05
2023-11-27,1.7256366285335933e-05
2023-11-28,1.622649438616463e-05
2023-11-29,1.3411308382520237e-05
2023-11-30,2.294209047532996e-05
2023-12-01,3.2665015186006064e-05
2023-12-04,2.1412204436689654e-05
2023-12-05,1.7360727241598657e-05
2023-12-06,1.1601179153497184e-05
2023-12-07,2.2005999533077922e-05
2023-12-08,1.8046653259891598e-05
2023-12-11,1.6122433029652157e-05
2023-12-12,2.63941703490575e-05
2023-12-13,3.148782752640091e-05
2023-12-14,2.3036779704752268e-05
2023-12-15,1.1977361746548077e-05
2023-12-18,2.1933270985115394e-05
2023-12-19,1.9822942052475698e-05
2023-12-20,2.710485606152599e-05
2023-12-21,2.1886226883109312e-05
2023-12-22,1.4566542964176811e-05
2023-12-25,1.9093190265811493e-05
2023-12-26,1.6214000629175976e-05
2023-12-27,1.8139655085760665e-05
2023-12-28,3.388897250770827e-05
2023-12-29,2.0721063692251814e-05
2024-01-02,2.7987782910283602e-05
2024-01-03,1.6807470316245422e-05
2024-01-04,2.1239086169880846e-05
2024-01-05,4.052017995952428e-05
2024-01-08,1.63387524087569e-05
2024-01-09,3.200165688848015e-05
2024-01-10,1.3723013048778325e-05
2024-01-11,3.0069794442612735e-05
2024-01-12,2.3102372664718322e-05
2024-01-15,2.522825337964542e-05
2024-01-16,2.292285164081846e-05
2024-01-17,1.4584211929040448e-05
2024-01-18,2.5738133421194157e-05
2024-01-19,1.8109683041598568e-05
2024-01-22,1.982894690829253e-05
2024-01-23,1.6381104764261103e-05
2024-01-24,2.1062882076927758e-05
2024-01-25,3.6510404142254575e-05
2024-01-26,3.131780467020242e-05
2024-01-29,4.3567258602691844e-05
2024-01-30,3.359516459380396e-05
2024-01-31,4.212628502840725e-05
2024-02-01,2.879006804606588e-05
2024-02-02,2.5526672948192348e-05
2024-02-05,5.673360763779707e-05
2024-02-06,5.232005435205862e-05
2024-02-07,2.6587347818929377e-05
2024-02-08,2.85604371521058e-05
2024-02-19,2.5166113938774874e-05
2024-02-20,0.0
