date,RP_Sharpe_4yr
2023-08-08,0.9975
2023-08-09,0.9921961230797106
2023-08-10,1.0020588113763214
2023-08-11,0.9800175024951914
2023-08-14,0.9761711050641381
2023-08-15,0.9758031598212538
2023-08-16,0.9669140777699889
2023-08-17,0.9712208100156772
2023-08-18,0.9608189898988125
2023-08-21,0.942851658770195
2023-08-22,0.9502411524856601
2023-08-23,0.9367573218349632
2023-08-24,0.9384292206126273
2023-08-25,0.9381511216561411
2023-08-28,0.9430242239433408
2023-08-29,0.9499490464762815
2023-08-30,0.9498492132431754
2023-08-31,0.9489832735689536
2023-09-01,0.9481749659811394
2023-09-04,0.9624353015340086
2023-09-05,0.9591872131904366
2023-09-06,0.9559372574319579
2023-09-07,0.9458470325514801
2023-09-08,0.9446927641993619
2023-09-11,0.9539695317674343
2023-09-12,0.9530967655026255
2023-09-13,0.9474326372216737
2023-09-14,0.9534088437500416
2023-09-15,0.947647513158176
2023-09-18,0.9476667975916294
2023-09-19,0.9457267935971214
2023-09-20,0.9422040248940716
2023-09-21,0.9359747353891774
2023-09-22,0.9477368821143445
2023-09-25,0.945888275824107
2023-09-26,0.9391831818573008
2023-09-27,0.9351028265197131
2023-09-28,0.9398135686691772
2023-10-09,0.9450993391787126
2023-10-10,0.9428866238411745
2023-10-11,0.9427622095064833
2023-10-12,0.9556705163784904
2023-10-13,0.9498778339324305
2023-10-16,0.948009156009785
2023-10-17,0.9516434640898651
2023-10-18,0.9468036650030957
2023-10-19,0.9319929387102082
2023-10-20,0.9229951658447099
2023-10-23,0.9152174797719688
2023-10-24,0.9235350281578608
2023-10-25,0.927613702891877
2023-10-26,0.9353635500002139
2023-10-27,0.9481830566379604
2023-10-30,0.9490225846832178
2023-10-31,0.9497697690689137
2023-11-01,0.9513927027342933
2023-11-02,0.9503947134422572
2023-11-03,0.9514066936809356
2023-11-06,0.9508028694366341
2023-11-07,0.9487843869840417
2023-11-08,0.9467735330174011
2023-11-09,0.9494605502239908
2023-11-10,0.9459601200337476
2023-11-13,0.9430694642007978
2023-11-14,0.9430037713274363
2023-11-15,0.9501483712627733
2023-11-16,0.9462371696258869
2023-11-17,0.9453569407292087
2023-11-20,0.9501365856222628
2023-11-21,0.949116603669672
2023-11-22,0.9426910718900742
2023-11-23,0.9479009580963512
2023-11-24,0.9430397909757468
2023-11-27,0.9435425984392762
2023-11-28,0.9430202157852551
2023-11-29,0.9357886412590997
2023-11-30,0.9395359154264044
2023-12-01,0.9317266898191425
2023-12-04,0.9300568750752173
2023-12-05,0.9156814260900225
2023-12-06,0.9122748533540705
2023-12-07,0.9097747190734131
2023-12-08,0.9122322220700007
2023-12-11,0.9166974850138451
2023-12-12,0.926320921700058
2023-12-13,0.9239434784743341
2023-12-14,0.9195498065016383
2023-12-15,0.9125257665167574
2023-12-18,0.911103080702804
2023-12-19,0.9168380866268662
2023-12-20,0.9105649039495496
2023-12-21,0.9165206421668978
2023-12-22,0.9149860847594852
2023-12-25,0.9202048619315261
2023-12-26,0.9151447162781874
2023-12-27,0.9185554604293317
2023-12-28,0.9279232800289368
2023-12-29,0.9326579874125096
2024-01-02,0.9300789013212157
2024-01-03,0.9339792690027935
2024-01-04,0.930210342138026
2024-01-05,0.9313427920168472
2024-01-08,0.9192510546428685
2024-01-09,0.923648042295187
2024-01-10,0.9181474714784652
2024-01-11,0.9195895380469163
2024-01-12,0.9249456995397461
2024-01-15,0.9338605532400592
2024-01-16,0.9436841278642135
2024-01-17,0.9256556202566654
2024-01-18,0.9326119045978165
2024-01-19,0.9308376009506294
2024-01-22,0.9149564454336244
2024-01-23,0.9158895831570636
2024-01-24,0.9370746046290989
2024-01-25,0.9585200256114418
2024-01-26,0.9571479438861737
2024-01-29,0.9638407342693981
2024-01-30,0.9449041292230136
2024-01-31,0.9372967368733239
2024-02-01,0.935897678653443
2024-02-02,0.9281327045385733
2024-02-05,0.9358248559206596
2024-02-06,0.9597513891543624
2024-02-07,0.9625136406884349
2024-02-08,0.9663723973245093
2024-02-19,0.9875020712098715
2024-02-20,0.9921934063701537
