date,MV_MinRisk_4yr
2023-08-08,0.9975
2023-08-09,0.9955292213431359
2023-08-10,0.9992367699182495
2023-08-11,0.9802290449705576
2023-08-14,0.9752617313613977
2023-08-15,0.981465238185015
2023-08-16,0.9747175774700859
2023-08-17,0.9783381535961738
2023-08-18,0.9748158619622055
2023-08-21,0.958864541357902
2023-08-22,0.9668116156146965
2023-08-23,0.960178372037225
2023-08-24,0.9550886055227205
2023-08-25,0.960673161343924
2023-08-28,0.9650425372506352
2023-08-29,0.9633352876862192
2023-08-30,0.9600625536739479
2023-08-31,0.9602169002033366
2023-09-01,0.9558585448305965
2023-09-04,0.9665886179868697
2023-09-05,0.9649987497351239
2023-09-06,0.9627233046935013
2023-09-07,0.9570122756306909
2023-09-08,0.956943186931069
2023-09-11,0.9647664647083238
2023-09-12,0.9659368864447968
2023-09-13,0.9641459751336589
2023-09-14,0.9790341267338077
2023-09-15,0.9725978529535041
2023-09-18,0.9712100185929535
2023-09-19,0.9736335532162981
2023-09-20,0.9729797316238437
2023-09-21,0.9667761571505941
2023-09-22,0.9757682564802485
2023-09-25,0.9744557106971914
2023-09-26,0.9680147063342452
2023-09-27,0.9613918975683096
2023-09-28,0.9654927465143996
2023-10-09,0.9729061948075449
2023-10-10,0.9700167115784274
2023-10-11,0.9681834454154339
2023-10-12,0.9788002404767968
2023-10-13,0.9769588954039394
2023-10-16,0.9755571602414705
2023-10-17,0.9818071686328567
2023-10-18,0.9798959346806222
2023-10-19,0.9622289930852646
2023-10-20,0.9532151377594198
2023-10-23,0.9462813566418492
2023-10-24,0.9521123210744773
2023-10-25,0.9428726105728574
2023-10-26,0.9551604958276054
2023-10-27,0.9585103044147378
2023-10-30,0.9534569880866309
2023-10-31,0.9568376812902447
2023-11-01,0.9604287176210626
2023-11-02,0.9628164366301893
2023-11-03,0.9615782388088482
2023-11-06,0.9532115251250357
2023-11-07,0.9526436664051355
2023-11-08,0.9508603992110514
2023-11-09,0.9575121295502645
2023-11-10,0.9536238487356
2023-11-13,0.952799357672987
2023-11-14,0.9518393640037404
2023-11-15,0.959137651569137
2023-11-16,0.9580156096898778
2023-11-17,0.9545854226432113
2023-11-20,0.958776130084783
2023-11-21,0.9597708178172476
2023-11-22,0.9554136400225834
2023-11-23,0.9562760605814402
2023-11-24,0.954296507839663
2023-11-27,0.9516009571026717
2023-11-28,0.9497778393376233
2023-11-29,0.9436447956341267
2023-11-30,0.9540691842554889
2023-12-01,0.9546218144259652
2023-12-04,0.9527641738349876
2023-12-05,0.9405384323179072
2023-12-06,0.9355370858676266
2023-12-07,0.9357289423313514
2023-12-08,0.9376220485006922
2023-12-11,0.9407266121393505
2023-12-12,0.9517912060380593
2023-12-13,0.9503323103564935
2023-12-14,0.9491086756016338
2023-12-15,0.9401072437285807
2023-12-18,0.9449710080884701
2023-12-19,0.9474171153287424
2023-12-20,0.9474975781448018
2023-12-21,0.9491296684442273
2023-12-22,0.9510356621884171
2023-12-25,0.9553188262153236
2023-12-26,0.9527725841014756
2023-12-27,0.955503609513354
2023-12-28,0.958157368563118
2023-12-29,0.9612024505157502
2024-01-02,0.9652397377422447
2024-01-03,0.9705058310257535
2024-01-04,0.9710350445228386
2024-01-05,0.97698914114764
2024-01-08,0.9648529963858632
2024-01-09,0.966303776408233
2024-01-10,0.9610694209829199
2024-01-11,0.9578177761550815
2024-01-12,0.9682621894735407
2024-01-15,0.9738210679940688
2024-01-16,0.9824649305577071
2024-01-17,0.9675270165616165
2024-01-18,0.9692961970208213
2024-01-19,0.9717900133173154
2024-01-22,0.9589216993235505
2024-01-23,0.9597147877105562
2024-01-24,0.9823396712722763
2024-01-25,1.0031508481933773
2024-01-26,1.0081642874261971
2024-01-29,1.022302545547451
2024-01-30,1.0091459519063872
2024-01-31,1.0082212159224633
2024-02-01,0.9997388741027323
2024-02-02,0.9958622746082185
2024-02-05,1.0125319146627898
2024-02-06,1.0234082496621963
2024-02-07,1.022220810616883
2024-02-08,1.02048019378421
2024-02-19,1.0449293950282859
2024-02-20,1.052969650008881
