date,NCO_Sharpe_4yr
2023-08-08,0.9975
2023-08-09,0.9931310068980798
2023-08-10,0.9966385713944043
2023-08-11,0.9753775507154341
2023-08-14,0.9697386979118323
2023-08-15,0.9750811339525918
2023-08-16,0.9635135307385951
2023-08-17,0.9683570111609854
2023-08-18,0.960594592562358
2023-08-21,0.9522081589523932
2023-08-22,0.9606464980781153
2023-08-23,0.9509173266551254
2023-08-24,0.9544228359626817
2023-08-25,0.9597592158545969
2023-08-28,0.9608675687867603
2023-08-29,0.9657549065042634
2023-08-30,0.9748435389941703
2023-08-31,0.979456794549073
2023-09-01,0.969410427876269
2023-09-04,0.9716297147190032
2023-09-05,0.9739262398619599
2023-09-06,0.9766727735189243
2023-09-07,0.9629171585968461
2023-09-08,0.9620890115257321
2023-09-11,0.9673334754385895
2023-09-12,0.9671992933177951
2023-09-13,0.9627055047604378
2023-09-14,0.969333451861708
2023-09-15,0.9631652424439008
2023-09-18,0.9571173216874987
2023-09-19,0.9541872131285533
2023-09-20,0.9477489199486682
2023-09-21,0.9399497768621989
2023-09-22,0.9527803610687984
2023-09-25,0.9522599462296127
2023-09-26,0.9467191427447434
2023-09-27,0.9393669100044384
2023-09-28,0.9447364980038366
2023-10-09,0.9552032817741926
2023-10-10,0.9560378815490058
2023-10-11,0.9524808319262985
2023-10-12,0.9662851907240526
2023-10-13,0.9599640904707261
2023-10-16,0.9519993262074032
2023-10-17,0.9617964551588097
2023-10-18,0.9616769361371649
2023-10-19,0.948807250803742
2023-10-20,0.9374585298227175
2023-10-23,0.9284525606494677
2023-10-24,0.9407295214963171
2023-10-25,0.9295442641173822
2023-10-26,0.9425117664882711
2023-10-27,0.9468309094884709
2023-10-30,0.9463564852997515
2023-10-31,0.9486296151028143
2023-11-01,0.9493727370059685
2023-11-02,0.9507496774533806
2023-11-03,0.9526858691094017
2023-11-06,0.9448665869316646
2023-11-07,0.9433832253340982
2023-11-08,0.9464236001241656
2023-11-09,0.9501132170230858
2023-11-10,0.9473818070102182
2023-11-13,0.9449582095024217
2023-11-14,0.9387872822039723
2023-11-15,0.945264532501946
2023-11-16,0.940621439519853
2023-11-17,0.9370359789529465
2023-11-20,0.9367685948513854
2023-11-21,0.9350869625379553
2023-11-22,0.9297644773741579
2023-11-23,0.9318349994324103
2023-11-24,0.929441989176154
2023-11-27,0.9299447708586414
2023-11-28,0.9275748961300057
2023-11-29,0.9212445502462422
2023-11-30,0.9285562416593189
2023-12-01,0.9219898438895966
2023-12-04,0.9181923783489531
2023-12-05,0.9069966760047165
2023-12-06,0.9022872232019246
2023-12-07,0.8987580289229599
2023-12-08,0.9038354049285184
2023-12-11,0.9141698435719685
2023-12-12,0.9169754092068629
2023-12-13,0.914420963289175
2023-12-14,0.9156398308966276
2023-12-15,0.9059730022391023
2023-12-18,0.9111797401420266
2023-12-19,0.9193990191398663
2023-12-20,0.9250385126735527
2023-12-21,0.9284521877823337
2023-12-22,0.9270507880598342
2023-12-25,0.931899413866212
2023-12-26,0.9308509777666479
2023-12-27,0.9422641175267715
2023-12-28,0.9422367783908351
2023-12-29,0.9467110579071368
2024-01-02,0.9501074855450639
2024-01-03,0.9542410767836804
2024-01-04,0.9518020010439845
2024-01-05,0.9473219377737281
2024-01-08,0.9355353311958936
2024-01-09,0.9348117800003513
2024-01-10,0.9272159089727429
2024-01-11,0.9234819873390991
2024-01-12,0.9316771268335314
2024-01-15,0.9318031719551921
2024-01-16,0.9426542816163304
2024-01-17,0.9326957297902039
2024-01-18,0.94401419435143
2024-01-19,0.9437469689156902
2024-01-22,0.9353282418037695
2024-01-23,0.9338754859060758
2024-01-24,0.9522161982240822
2024-01-25,0.9603719482093374
2024-01-26,0.960099958794913
2024-01-29,0.9633242050588429
2024-01-30,0.9469099444133906
2024-01-31,0.953450238819053
2024-02-01,0.948697771474217
2024-02-02,0.9457750469746775
2024-02-05,0.971231568916161
2024-02-06,0.9814800032061013
2024-02-07,0.9794232775639049
2024-02-08,0.9767073075619896
2024-02-19,0.9991681136676703
2024-02-20,1.007932286108338
