date,RP_MinRisk
2023-08-08,0.9975
2023-08-09,0.991640491030162
2023-08-10,1.0020746662162388
2023-08-11,0.9792923363879473
2023-08-14,0.9753182911894167
2023-08-15,0.9746240964195881
2023-08-16,0.9649577649522101
2023-08-17,0.9693138309550683
2023-08-18,0.9579217791564059
2023-08-21,0.9405705096009997
2023-08-22,0.9480663953473023
2023-08-23,0.9335048238366065
2023-08-24,0.9362373463438411
2023-08-25,0.9355779323322845
2023-08-28,0.9401784367079399
2023-08-29,0.9486733689672682
2023-08-30,0.9502620574007882
2023-08-31,0.9500655203996135
2023-09-01,0.9485718097048599
2023-09-04,0.9619070991300555
2023-09-05,0.9593598742534493
2023-09-06,0.95675068920911
2023-09-07,0.9452610729188407
2023-09-08,0.9442194692049287
2023-09-11,0.9532531565398921
2023-09-12,0.952265571810994
2023-09-13,0.9460299078697956
2023-09-14,0.9505809311977385
2023-09-15,0.9452013669545448
2023-09-18,0.943858690446176
2023-09-19,0.9415080685925232
2023-09-20,0.9368062533369492
2023-09-21,0.9304560339739248
2023-09-22,0.9428516010435163
2023-09-25,0.9411591515121988
2023-09-26,0.9343883813926924
2023-09-27,0.9299836514631108
2023-09-28,0.9356047444245095
2023-10-09,0.941366171391004
2023-10-10,0.9399636142416672
2023-10-11,0.9399904668573374
2023-10-12,0.9529152139705431
2023-10-13,0.9464517323184993
2023-10-16,0.944025587446496
2023-10-17,0.9480068219701621
2023-10-18,0.9433099712926799
2023-10-19,0.9299220986466248
2023-10-20,0.920656991726593
2023-10-23,0.9123124146797413
2023-10-24,0.922015845100054
2023-10-25,0.9268499405881815
2023-10-26,0.9344846477345198
2023-10-27,0.9483700963394468
2023-10-30,0.9514624609064547
2023-10-31,0.9517458276744288
2023-11-01,0.9529354434318106
2023-11-02,0.9513854511320476
2023-11-03,0.9532472317958195
2023-11-06,0.9534167014492525
2023-11-07,0.9511818789522982
2023-11-08,0.9497208323191141
2023-11-09,0.9517831418397102
2023-11-10,0.9484874528180675
2023-11-13,0.9451723091322463
2023-11-14,0.9443642586305505
2023-11-15,0.9518316718058867
2023-11-16,0.947237188815679
2023-11-17,0.9468560872421133
2023-11-20,0.9515207543736985
2023-11-21,0.94976900043686
2023-11-22,0.9429658226185661
2023-11-23,0.9489438462406616
2023-11-24,0.9437258025842301
2023-11-27,0.9451679013518149
2023-11-28,0.9444718950714944
2023-11-29,0.937273355236493
2023-11-30,0.9401149045581074
2023-12-01,0.9305446285902522
2023-12-04,0.9289556590459019
2023-12-05,0.9146811298354052
2023-12-06,0.9114493561663483
2023-12-07,0.9082405371553783
2023-12-08,0.9109376078137116
2023-12-11,0.9163403396995115
2023-12-12,0.9242532952775293
2023-12-13,0.9209773689361689
2023-12-14,0.9168925763037494
2023-12-15,0.9097091772714451
2023-12-18,0.9080343947093796
2023-12-19,0.9145603836643765
2023-12-20,0.9084208715236776
2023-12-21,0.9148885987373062
2023-12-22,0.9129876813059441
2023-12-25,0.9185404933039396
2023-12-26,0.9136918293784504
2023-12-27,0.9176956887132758
2023-12-28,0.9274659563379759
2023-12-29,0.9327353752226616
2024-01-02,0.9294628543963757
2024-01-03,0.9334718031790886
2024-01-04,0.9291396770018544
2024-01-05,0.9285732363489343
2024-01-08,0.9168970053326925
2024-01-09,0.9211492942228091
2024-01-10,0.9152795770317943
2024-01-11,0.9162851464215541
2024-01-12,0.9208597865587618
2024-01-15,0.9291746635448944
2024-01-16,0.9388933636121622
2024-01-17,0.9212310653378117
2024-01-18,0.929894954880936
2024-01-19,0.9273668789196611
2024-01-22,0.9117825607856863
2024-01-23,0.9123852798041944
2024-01-24,0.933151795056245
2024-01-25,0.9527032922969196
2024-01-26,0.9506128238739496
2024-01-29,0.9552572498637549
2024-01-30,0.9355764575468426
2024-01-31,0.9289197036623168
2024-02-01,0.9287552555824582
2024-02-02,0.921206515007876
2024-02-05,0.929263544532025
2024-02-06,0.9550726639906777
2024-02-07,0.958727803985198
2024-02-08,0.9632410333933492
2024-02-19,0.9832930343999058
2024-02-20,0.9883337510112513
