date,NCO_Sharpe
2023-08-08,0.9975
2023-08-09,0.9940092624087837
2023-08-10,0.9928679073084935
2023-08-11,0.9722036964997779
2023-08-14,0.9636376165626497
2023-08-15,0.9678458409886924
2023-08-16,0.9622586356736341
2023-08-17,0.9608874236434883
2023-08-18,0.9592133939983528
2023-08-21,0.9469480815407619
2023-08-22,0.9569134677421142
2023-08-23,0.95352914249409
2023-08-24,0.9566788072503307
2023-08-25,0.9543696767254722
2023-08-28,0.9672689383302876
2023-08-29,0.9599000996047746
2023-08-30,0.9601215210764217
2023-08-31,0.9568450943868799
2023-09-01,0.9533339721390724
2023-09-04,0.9802639506917881
2023-09-05,0.9685151385994286
2023-09-06,0.9672423698115536
2023-09-07,0.9627210686694313
2023-09-08,0.9533990269719872
2023-09-11,0.9604842954455935
2023-09-12,0.9580564261131131
2023-09-13,0.953043032086947
2023-09-14,0.9696637108115993
2023-09-15,0.9598729204961365
2023-09-18,0.9725463405307087
2023-09-19,0.9661136062693568
2023-09-20,0.9693388426047949
2023-09-21,0.9601298071080835
2023-09-22,0.9752294079838267
2023-09-25,0.9727506531553238
2023-09-26,0.9721197531919418
2023-09-27,0.9697112285820266
2023-09-28,0.9577703762709368
2023-10-09,0.9618650557875016
2023-10-10,0.955494276951421
2023-10-11,0.9532515569262027
2023-10-12,0.9674170867737265
2023-10-13,0.960902437647668
2023-10-16,0.9550732037645464
2023-10-17,0.9564905935875704
2023-10-18,0.9535077402541952
2023-10-19,0.9356109936189989
2023-10-20,0.9248270761049532
2023-10-23,0.9197386330955133
2023-10-24,0.9169185494986936
2023-10-25,0.9604172667182372
2023-10-26,0.9578583247107323
2023-10-27,0.9670083441816326
2023-10-30,0.962189629569559
2023-10-31,0.9649629531556257
2023-11-01,0.9717140996488991
2023-11-02,0.9731641306894084
2023-11-03,0.9729747122043596
2023-11-06,0.9757395425221714
2023-11-07,0.9784700951318115
2023-11-08,0.9733416617656809
2023-11-09,0.9731033393675538
2023-11-10,0.97364393940969
2023-11-13,0.9627799707185052
2023-11-14,0.9627972365374871
2023-11-15,0.978425288815775
2023-11-16,0.9754583728328639
2023-11-17,0.9783250839571394
2023-11-20,0.9824564978715847
2023-11-21,0.9838672600932248
2023-11-22,0.9756416791265121
2023-11-23,0.9860689798972123
2023-11-24,0.9847659901250252
2023-11-27,0.985750536014924
2023-11-28,0.9922508044380408
2023-11-29,0.9853261138164198
2023-11-30,0.986281392228582
2023-12-01,0.9488054219077098
2023-12-04,0.9539825548654923
2023-12-05,0.9463471622667974
2023-12-06,0.9450391212416237
2023-12-07,0.9429946383316087
2023-12-08,0.9409105296300804
2023-12-11,0.9449825622498937
2023-12-12,0.9528537318237373
2023-12-13,0.955214744207484
2023-12-14,0.9436352625060127
2023-12-15,0.935830411696008
2023-12-18,0.9384028648062914
2023-12-19,0.9421789894640104
2023-12-20,0.9363714782495522
2023-12-21,0.9363897031956969
2023-12-22,0.9357630973527313
2023-12-25,0.9453938312439917
2023-12-26,0.9430866107216335
2023-12-27,0.9449386111287633
2023-12-28,0.9370424626760987
2023-12-29,0.9425744453969933
2024-01-02,0.9523280284785658
2024-01-03,0.9547271778924674
2024-01-04,0.9556276991046606
2024-01-05,0.9526721013109065
2024-01-08,0.9432322981865068
2024-01-09,0.9443069817820378
2024-01-10,0.9371547518594389
2024-01-11,0.9341721193980176
2024-01-12,0.9487802480856538
2024-01-15,0.9537790378141091
2024-01-16,0.9646898905958048
2024-01-17,0.9503115382839147
2024-01-18,0.9473692334625505
2024-01-19,0.9430285728031621
2024-01-22,0.9290018379968629
2024-01-23,0.9308127549521601
2024-01-24,0.9584848970375816
2024-01-25,0.9733222234265028
2024-01-26,0.9785365207174807
2024-01-29,0.9817126900629949
2024-01-30,0.9728588109306412
2024-01-31,0.972748668879367
2024-02-01,0.9694150989340913
2024-02-02,0.9693356744439995
2024-02-05,0.9875243054720216
2024-02-06,0.9918697951826942
2024-02-07,0.9904035899769602
2024-02-08,0.991479192743795
2024-02-19,1.0099609816561117
2024-02-20,1.027271056430477
