date,MV_MinRisk
2023-08-08,0.9975
2023-08-09,0.9936426787774466
2023-08-10,1.000178220309311
2023-08-11,0.9795199419832631
2023-08-14,0.9765433991794211
2023-08-15,0.9809830158709454
2023-08-16,0.9722027015348503
2023-08-17,0.9771544429920941
2023-08-18,0.9698813347602129
2023-08-21,0.9558661309771018
2023-08-22,0.9637414677177888
2023-08-23,0.9532404718203598
2023-08-24,0.9511613791349185
2023-08-25,0.9567092178367109
2023-08-28,0.9593746411095476
2023-08-29,0.9628112970754659
2023-08-30,0.9643919032532119
2023-08-31,0.9668709078268347
2023-09-01,0.9597133299028457
2023-09-04,0.9650897415218241
2023-09-05,0.9671227370640739
2023-09-06,0.9644142024802663
2023-09-07,0.9568488189592196
2023-09-08,0.9568290594809071
2023-09-11,0.9645538828567501
2023-09-12,0.9659531570002289
2023-09-13,0.9635039486418482
2023-09-14,0.9745682919969388
2023-09-15,0.9691277839994605
2023-09-18,0.9634339237041175
2023-09-19,0.9650191131314689
2023-09-20,0.9607495763626274
2023-09-21,0.953803900238518
2023-09-22,0.9645215136421079
2023-09-25,0.963737339418218
2023-09-26,0.957060490992785
2023-09-27,0.9495724571160958
2023-09-28,0.9552255244772816
2023-10-09,0.9640067200331662
2023-10-10,0.964270096091567
2023-10-11,0.9638235294233962
2023-10-12,0.9724084048800282
2023-10-13,0.9687146676549546
2023-10-16,0.9668924527471953
2023-10-17,0.9736760513698663
2023-10-18,0.9719091364530897
2023-10-19,0.9588022333727385
2023-10-20,0.9494431780090546
2023-10-23,0.9413518973304569
2023-10-24,0.9519351538741034
2023-10-25,0.9449361722209779
2023-10-26,0.9575240712216307
2023-10-27,0.9643790116419119
2023-10-30,0.9686037381508069
2023-10-31,0.9713289151616862
2023-11-01,0.9741743571440598
2023-11-02,0.9754958467647434
2023-11-03,0.9752559308608906
2023-11-06,0.9674778185271314
2023-11-07,0.9668375488808734
2023-11-08,0.9670253473438262
2023-11-09,0.972416924609563
2023-11-10,0.9698314179708366
2023-11-13,0.9666955507604403
2023-11-14,0.9625329960178001
2023-11-15,0.9730516966148998
2023-11-16,0.9715517554641153
2023-11-17,0.9709895959180584
2023-11-20,0.9757317041888176
2023-11-21,0.9747745978630182
2023-11-22,0.9696330436978542
2023-11-23,0.9733239186900196
2023-11-24,0.9708566923688914
2023-11-27,0.9711538448263296
2023-11-28,0.9684949314700262
2023-11-29,0.9632151563395928
2023-11-30,0.9707455155622278
2023-12-01,0.962094942226056
2023-12-04,0.9618278645228425
2023-12-05,0.9511099721148643
2023-12-06,0.9476527911551507
2023-12-07,0.9461854523960014
2023-12-08,0.9481572658240709
2023-12-11,0.9544628936913646
2023-12-12,0.9595782372445232
2023-12-13,0.955698540655083
2023-12-14,0.9541657887974269
2023-12-15,0.9448619837973053
2023-12-18,0.9494541343071392
2023-12-19,0.9532688859550342
2023-12-20,0.9536907390578695
2023-12-21,0.955606998220579
2023-12-22,0.9570151968920156
2023-12-25,0.9639187094381906
2023-12-26,0.9624622078810686
2023-12-27,0.9652871044109338
2023-12-28,0.9666116945815111
2023-12-29,0.971851673301334
2024-01-02,0.9756567206054932
2024-01-03,0.9800203546116518
2024-01-04,0.9783030898076012
2024-01-05,0.975928823215394
2024-01-08,0.9655902467824055
2024-01-09,0.967901126387783
2024-01-10,0.9608909018706893
2024-01-11,0.9566408262801749
2024-01-12,0.9652203813177863
2024-01-15,0.9705875780661627
2024-01-16,0.9778490000559712
2024-01-17,0.9627771122538059
2024-01-18,0.9689740273529255
2024-01-19,0.9695441507203448
2024-01-22,0.9563204346172842
2024-01-23,0.9554222743850028
2024-01-24,0.97683841535854
2024-01-25,0.9909908321547933
2024-01-26,0.9932283798099566
2024-01-29,0.9992839409102652
2024-01-30,0.9836423787764402
2024-01-31,0.9858206887944676
2024-02-01,0.9820159084090756
2024-02-02,0.979199949793305
2024-02-05,0.9941803889481816
2024-02-06,1.0117094813831595
2024-02-07,1.0147597357711977
2024-02-08,1.0170864590301507
2024-02-19,1.0362942675790194
2024-02-20,1.0463805688540384
