date,HRP
2023-08-08,0.9975
2023-08-09,0.9930720416962473
2023-08-10,1.0016233042524902
2023-08-11,0.9798133949757771
2023-08-14,0.977381396940853
2023-08-15,0.9789770976889477
2023-08-16,0.9698173965935749
2023-08-17,0.974593855886539
2023-08-18,0.9641345257100569
2023-08-21,0.9489229397179757
2023-08-22,0.9574551506924305
2023-08-23,0.9436333647840257
2023-08-24,0.9437385489029122
2023-08-25,0.9451550806830238
2023-08-28,0.9509513995920279
2023-08-29,0.9573499879429141
2023-08-30,0.958600681913945
2023-08-31,0.9582466571914299
2023-09-01,0.9552794930363484
2023-09-04,0.9685517207442207
2023-09-05,0.9669795484118894
2023-09-06,0.9635324817804907
2023-09-07,0.9534678290413925
2023-09-08,0.9518937007552655
2023-09-11,0.9611830601483984
2023-09-12,0.9607523348259626
2023-09-13,0.9551780757101145
2023-09-14,0.9617078616899668
2023-09-15,0.9567592219632114
2023-09-18,0.9538930454831686
2023-09-19,0.9535384486811017
2023-09-20,0.9491874617573682
2023-09-21,0.9426440296483645
2023-09-22,0.9558790715068731
2023-09-25,0.9546489458244476
2023-09-26,0.9489116220886065
2023-09-27,0.9425686976346096
2023-09-28,0.9477593192312933
2023-10-09,0.955512885182404
2023-10-10,0.9537713183662275
2023-10-11,0.9548266832834157
2023-10-12,0.965730188099286
2023-10-13,0.9606356633486154
2023-10-16,0.9602565805999294
2023-10-17,0.964388386907675
2023-10-18,0.960656093186219
2023-10-19,0.9474586276374378
2023-10-20,0.9379123689767165
2023-10-23,0.9295186460030921
2023-10-24,0.9374769362928147
2023-10-25,0.9415852753978569
2023-10-26,0.9503798532724441
2023-10-27,0.9625761786516696
2023-10-30,0.9655515288912087
2023-10-31,0.966298824718377
2023-11-01,0.968837163253104
2023-11-02,0.9678073926567261
2023-11-03,0.9686686700497054
2023-11-06,0.9669830331572294
2023-11-07,0.9654723407586226
2023-11-08,0.9636526786301958
2023-11-09,0.9667932374287244
2023-11-10,0.9637056317414067
2023-11-13,0.9600935377433231
2023-11-14,0.9586683876600273
2023-11-15,0.9675796875891454
2023-11-16,0.963712381358531
2023-11-17,0.9632468068501814
2023-11-20,0.9684894414824942
2023-11-21,0.9664722594130281
2023-11-22,0.959939439775381
2023-11-23,0.9655258263452963
2023-11-24,0.9608944374489599
2023-11-27,0.9616929645546114
2023-11-28,0.9614928122563532
2023-11-29,0.9551806769475876
2023-11-30,0.959376709053853
2023-12-01,0.9493007317923652
2023-12-04,0.9485629025260284
2023-12-05,0.9353302423741208
2023-12-06,0.9321052492630126
2023-12-07,0.9297008754336108
2023-12-08,0.9309398132459953
2023-12-11,0.9362612469019239
2023-12-12,0.9444621093366454
2023-12-13,0.9418003214057104
2023-12-14,0.9390529470434691
2023-12-15,0.930580568269556
2023-12-18,0.9313160214300736
2023-12-19,0.9372414235863666
2023-12-20,0.9325269948329512
2023-12-21,0.9381129556122632
2023-12-22,0.9376548980233335
2023-12-25,0.9432290176679784
2023-12-26,0.9399228085240817
2023-12-27,0.9428658803369321
2023-12-28,0.9493099951555124
2023-12-29,0.9557632954768946
2024-01-02,0.9551978323953676
2024-01-03,0.9599473258795164
2024-01-04,0.9572864232789062
2024-01-05,0.9561640314124058
2024-01-08,0.9456045668328871
2024-01-09,0.9475363746734041
2024-01-10,0.941113230841132
2024-01-11,0.9399954411289863
2024-01-12,0.9458800508600826
2024-01-15,0.9525747830593174
2024-01-16,0.960729461213884
2024-01-17,0.9438662716387107
2024-01-18,0.9504933139214483
2024-01-19,0.9488822892706071
2024-01-22,0.9334193606273824
2024-01-23,0.9335635281863521
2024-01-24,0.955849257656216
2024-01-25,0.9741452302318522
2024-01-26,0.9762363473963366
2024-01-29,0.9831805661320607
2024-01-30,0.966873306791537
2024-01-31,0.9632048015650349
2024-02-01,0.9590576282004493
2024-02-02,0.9545029395455542
2024-02-05,0.9637801150627207
2024-02-06,0.9851374714967204
2024-02-07,0.9887546940799312
2024-02-08,0.9915889393233543
2024-02-19,1.0105466419462872
2024-02-20,1.0184079269144493
