date,MV_Sharpe_4yr
2023-08-08,0.9975
2023-08-09,0.9934280995118311
2023-08-10,0.9973923307719242
2023-08-11,0.976517055270641
2023-08-14,0.9708844919851914
2023-08-15,0.9763463427683173
2023-08-16,0.9636743714160029
2023-08-17,0.9697118599665421
2023-08-18,0.9611671354532678
2023-08-21,0.9528085820123295
2023-08-22,0.9609493102425989
2023-08-23,0.9506239531779819
2023-08-24,0.9539579394214883
2023-08-25,0.9603851456520115
2023-08-28,0.9599118262435083
2023-08-29,0.9656738735766482
2023-08-30,0.9753393212598817
2023-08-31,0.9807507539725815
2023-09-01,0.9703400494111156
2023-09-04,0.9691122017876165
2023-09-05,0.97327424603879
2023-09-06,0.9766317108066588
2023-09-07,0.9620357266022719
2023-09-08,0.9621736960863985
2023-09-11,0.9671992998236204
2023-09-12,0.9673569544226037
2023-09-13,0.9633711075041141
2023-09-14,0.9689049784076922
2023-09-15,0.9628756264073549
2023-09-18,0.9548702316377448
2023-09-19,0.9522980257521348
2023-09-20,0.9447105811470916
2023-09-21,0.9369972922135623
2023-09-22,0.9490008424486148
2023-09-25,0.9487687308221994
2023-09-26,0.9428597297364275
2023-09-27,0.9351961981105902
2023-09-28,0.9424713929440236
2023-10-09,0.953649297716641
2023-10-10,0.9552170782934221
2023-10-11,0.9515706457703745
2023-10-12,0.9647259175378284
2023-10-13,0.9586732109498718
2023-10-16,0.9509441157454653
2023-10-17,0.9610596705436466
2023-10-18,0.9608702847553996
2023-10-19,0.9487133695949075
2023-10-20,0.9376666722436042
2023-10-23,0.9280300103924352
2023-10-24,0.9426664002582535
2023-10-25,0.9298952057427257
2023-10-26,0.9433551118965358
2023-10-27,0.9466718484230823
2023-10-30,0.948456320871439
2023-10-31,0.9508142072155745
2023-11-01,0.9511416737467313
2023-11-02,0.9519808721267149
2023-11-03,0.9549492486622281
2023-11-06,0.9461960255069024
2023-11-07,0.9446251399827141
2023-11-08,0.9484597366218933
2023-11-09,0.9522750961518907
2023-11-10,0.9497309822417114
2023-11-13,0.9479185812176053
2023-11-14,0.9415857397843931
2023-11-15,0.9477576552122299
2023-11-16,0.9430405547276202
2023-11-17,0.9397202613452507
2023-11-20,0.938681070956748
2023-11-21,0.9367210117117586
2023-11-22,0.9309664087909095
2023-11-23,0.9330609251009283
2023-11-24,0.9307467441747852
2023-11-27,0.9320913364454182
2023-11-28,0.9286420365602941
2023-11-29,0.9228660891365652
2023-11-30,0.93128865379945
2023-12-01,0.9267634148214016
2023-12-04,0.9229932184154341
2023-12-05,0.9121747138761661
2023-12-06,0.9080036036893836
2023-12-07,0.9035912585939206
2023-12-08,0.9091672589596876
2023-12-11,0.919885153163253
2023-12-12,0.9227689340194641
2023-12-13,0.9205072061234637
2023-12-14,0.9214773883330472
2023-12-15,0.912024648190542
2023-12-18,0.9170831198545439
2023-12-19,0.9255110962208168
2023-12-20,0.9314276885887669
2023-12-21,0.9348517333203639
2023-12-22,0.9329061008721263
2023-12-25,0.9378727272279432
2023-12-26,0.9367117985130571
2023-12-27,0.9487138830247576
2023-12-28,0.9487156254410044
2023-12-29,0.9527963309744488
2024-01-02,0.9562935245997309
2024-01-03,0.9601920067355625
2024-01-04,0.9575418916780093
2024-01-05,0.9530876729053432
2024-01-08,0.941001962843564
2024-01-09,0.9404806286198172
2024-01-10,0.9328202873390428
2024-01-11,0.929894587434117
2024-01-12,0.938397390386922
2024-01-15,0.9382842273704368
2024-01-16,0.9499073677698535
2024-01-17,0.9403126846746018
2024-01-18,0.9524258354241174
2024-01-19,0.9523870883382521
2024-01-22,0.9438416936938037
2024-01-23,0.9426338539168024
2024-01-24,0.9613909088861377
2024-01-25,0.9683072602411241
2024-01-26,0.96744174384223
2024-01-29,0.9687847585987323
2024-01-30,0.9519335113452296
2024-01-31,0.9586311825244088
2024-02-01,0.9546275508708361
2024-02-02,0.9521485333884669
2024-02-05,0.9773479215848438
2024-02-06,0.9875187849620858
2024-02-07,0.9857012669709568
2024-02-08,0.9833063095010741
2024-02-19,1.005976963412973
2024-02-20,1.0145042648705802
