step,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss
2048,128.0,-0.35060951113700867,555.0,,,,,,,,,,
4096,128.0,-0.7819483280181885,532.0,0.006492015905678272,0.06015624850988388,0.20000000298023224,-15.601841926574707,0.19890451431274414,0.0003000000142492354,0.018237531185150146,-0.003369965823367238,0.9985057711601257,0.1447485387325287
6144,128.0,-0.6967326998710632,527.0,0.009860625490546227,0.133056640625,0.20000000298023224,-15.582531929016113,0.4232379198074341,0.0003000000142492354,-0.006504608318209648,-0.010499688796699047,0.9970415830612183,0.045667462050914764
8192,128.0,-0.7918399572372437,523.0,0.0113371005281806,0.117431640625,0.20000000298023224,-15.561102867126465,0.6857843399047852,0.0003000000142492354,-0.009795122779905796,-0.011888199485838413,0.9944299459457397,0.05438288673758507
10240,128.0,-0.7640072703361511,524.0,0.014558294788002968,0.16303710639476776,0.20000000298023224,-15.548523902893066,0.44108057022094727,0.0003000000142492354,-0.003137916326522827,-0.015002265572547913,0.9947749972343445,0.028819238767027855
12288,128.0,-0.8837302327156067,524.0,0.012704966589808464,0.19125977158546448,0.20000000298023224,-15.534093856811523,0.4697778820991516,0.0003000000142492354,-0.013749170117080212,-0.015834050253033638,0.9918676018714905,0.035234615206718445
14336,128.0,-0.868380606174469,524.0,0.012728666886687279,0.18232421576976776,0.20000000298023224,-15.522066116333008,0.5043739676475525,0.0003000000142492354,-0.018813928589224815,-0.016291478648781776,0.9928083419799805,0.04313789680600166
16384,128.0,-0.9498617649078369,524.0,0.02242043986916542,0.24208983778953552,0.20000000298023224,-15.534093856811523,0.541786789894104,0.0003000000142492354,-0.04418791085481644,-0.03356551751494408,0.9940833449363708,0.021628616377711296
18432,128.0,-0.9592578411102295,524.0,0.03208809345960617,0.2896484434604645,0.20000000298023224,-15.528973579406738,0.691217303276062,0.0003000000142492354,-0.05706296116113663,-0.039814602583646774,0.9918376803398132,0.0321296826004982
20480,128.0,-0.8788807988166809,525.0,0.03526992350816727,0.322998046875,0.20000000298023224,-15.507328033447266,0.5878691077232361,0.0003000000142492354,-0.04396427050232887,-0.03994205221533775,0.9900777339935303,0.034476716071367264
